column,error,eps,noise_ratio,n_clusters,cleaned_mean,scaled_var
i7-920,insufficient_data,,0.0,0,,
i7-930,insufficient_data,,0.0,0,,
i7-950,insufficient_data,,0.0,0,,
i7-960,insufficient_data,,0.0,0,,
i7-980X,insufficient_data,,0.0,0,,
i5-750,insufficient_data,,0.0,0,,
i5-760,insufficient_data,,0.0,0,,
i3-530,insufficient_data,,0.0,0,,
i3-540,insufficient_data,,0.0,0,,
i3-2100,insufficient_data,,0.0,0,,
i3-2120,insufficient_data,,0.0,0,,
i3-2100T,insufficient_data,,0.0,0,,
i5-2300,insufficient_data,,0.0,0,,
i5-2400,insufficient_data,,0.0,0,,
i5-2500K,insufficient_data,,0.0,0,,
i5-2550K,insufficient_data,,0.0,0,,
i7-2600,insufficient_data,,0.0,0,,
i7-2600K,insufficient_data,,0.0,0,,
i7-2700K,insufficient_data,,0.0,0,,
i3-3220,insufficient_data,,0.0,0,,
i3-3240T,insufficient_data,,0.0,0,,
i5-3470,insufficient_data,,0.0,0,,
i5-3570K,insufficient_data,,0.0,0,,
i5-3550,insufficient_data,,0.0,0,,
i7-3770,insufficient_data,,0.0,0,,
i7-3770K,insufficient_data,,0.0,0,,
i7-3820,insufficient_data,,0.0,0,,
i3-4130,insufficient_data,,0.0,0,,
i3-4330,insufficient_data,,0.0,0,,
i5-4440,insufficient_data,,0.0,0,,
i5-4690K,insufficient_data,,0.0,0,,
i7-4770,insufficient_data,,0.0,0,,
i7-4790K,insufficient_data,,0.0,0,,
i5-4590,insufficient_data,,0.0,0,,
i3-4360,insufficient_data,,0.0,0,,
i7-5775C,insufficient_data,,0.0,0,,
i5-5675C,insufficient_data,,0.0,0,,
i7-6700K,insufficient_data,,0.0,0,,
i7-6700,insufficient_data,,0.0,0,,
i5-6600K,insufficient_data,,0.0,0,,
i5-6600,insufficient_data,,0.0,0,,
i5-6500,insufficient_data,,0.0,0,,
i5-6400,insufficient_data,,0.0,0,,
i3-6100,insufficient_data,,0.0,0,,
i7-7700K,insufficient_data,,0.0,0,,
i7-7700,insufficient_data,,0.0,0,,
i5-7600K,insufficient_data,,0.0,0,,
i5-7600,insufficient_data,,0.0,0,,
i5-7500,insufficient_data,,0.0,0,,
i5-7400,insufficient_data,,0.0,0,,
i3-7350K,insufficient_data,,0.0,0,,
i3-7300,insufficient_data,,0.0,0,,
i3-7100,insufficient_data,,0.0,0,,
i7-7700T,insufficient_data,,0.0,0,,
i5-7600T,insufficient_data,,0.0,0,,
i5-7500T,insufficient_data,,0.0,0,,
i7-8700K,insufficient_data,,0.0,0,,
i7-8700,insufficient_data,,0.0,0,,
i7-8700T,insufficient_data,,0.0,0,,
i5-8600K,insufficient_data,,0.0,0,,
i5-8600,insufficient_data,,0.0,0,,
i5-8500,insufficient_data,,0.0,0,,
i5-8400,insufficient_data,,0.0,0,,
i5-8400T,insufficient_data,,0.0,0,,
i3-8350K,insufficient_data,,0.0,0,,
i3-8300,insufficient_data,,0.0,0,,
i3-8100,insufficient_data,,0.0,0,,
