column,error,eps,noise_ratio,n_clusters,cleaned_mean,scaled_var
i7-920,,0.7522,0.0357,1,32.2222,0.7487
i7-930,,0.6208,0.0385,2,23.52,0.8368
i7-950,,0.7492,0.0,1,57.2667,1.0
i7-960,,0.8902,0.0,1,156.8214,1.0
i7-980X,,0.6733,0.04,1,181.5,0.6888
i5-750,,0.4878,0.0,2,30.2333,1.0
i5-760,,0.7037,0.0,1,20.9655,1.0
i3-530,,1.4653,0.0,1,22.1429,1.0
i3-540,,0.8252,0.0,1,28.4333,1.0
i3-2100,,0.993,0.0,1,12.8261,1.0
i3-2120,,0.4936,0.25,1,16.6111,0.2379
i3-2100T,,0.9023,0.0345,1,20.1786,0.8124
i5-2300,,1.0161,0.0333,1,62.4138,0.8411
i5-2400,,0.6827,0.0,1,49.8148,1.0
i5-2500K,,1.2735,0.0435,1,65.9091,0.4922
i5-2550K,,0.5605,0.0,1,96.6667,1.0
i7-2600,,1.1153,0.0,1,160.3448,1.0
i7-2600K,,0.8409,0.0357,1,170.3333,0.6562
i7-2700K,,1.2197,0.0,1,201.1071,1.0
i3-3220,,0.7465,0.037,2,27.8462,0.627
i3-3240T,,0.9142,0.0,1,33.5833,1.0
i5-3470,,0.9173,0.0357,1,78.7407,0.7599
i5-3570K,,1.0944,0.0,1,91.7778,1.0
i5-3550,,1.259,0.0,1,95.963,1.0
i7-3770,,0.7878,0.0345,1,210.25,0.7456
i7-3770K,,1.3222,0.0385,1,264.52,0.7128
i7-3820,,0.545,0.0,2,127.8667,1.0
i3-4130,,0.8225,0.0,1,16.2963,1.0
i3-4330,,1.0565,0.0385,1,24.92,0.7298
i5-4440,,0.9841,0.0,1,134.1071,1.0
i5-4690K,,1.2354,0.0,1,158.1111,1.0
i7-4770,,1.337,0.04,1,207.8333,0.6312
i7-4790K,,1.2742,0.0,1,282.5357,1.0
i5-4590,,1.1503,0.0,1,111.1111,1.0
i3-4360,,0.9926,0.0,1,48.1154,1.0
i7-5775C,,1.1924,0.0,1,457.2692,1.0
i5-5675C,,0.9832,0.0,1,238.7037,1.0
i7-6700K,,0.8777,0.08,1,373.3478,0.6847
i7-6700,,1.4441,0.0385,1,363.96,0.727
i5-6600K,,1.1421,0.0333,1,240.3448,0.7964
i5-6600,,1.1003,0.0769,1,193.875,0.5148
i5-6500,,1.33,0.0,1,189.9565,1.0
i5-6400,,0.4849,0.0,2,123.9667,1.0
i3-6100,,0.5682,0.0,1,47.8,1.0
i7-7700K,,0.5031,0.0,2,382.5,1.0
i7-7700,,0.4478,0.0,2,432.7037,1.0
i5-7600K,,0.8564,0.0417,1,257.6522,0.7466
i5-7600,,1.0235,0.0,1,236.1111,1.0
i5-7500,,0.9541,0.0357,1,213.963,0.8392
i5-7400,,0.9132,0.0833,1,216.2273,0.5337
i3-7350K,,0.6946,0.0,1,103.4815,1.0
i3-7300,,0.952,0.0,1,97.8571,1.0
i3-7100,,0.866,0.0,1,58.4,1.0
i7-7700T,,0.545,0.0,1,357.1724,1.0
i5-7600T,,0.5117,0.0435,1,225.9091,0.8789
i5-7500T,,0.3186,0.069,3,629.6296,0.8081
i7-8700K,,0.6821,0.1034,1,723.5385,0.526
i7-8700,,0.5264,0.0333,1,417.6552,0.7213
i7-8700T,,0.8188,0.0,1,838.5714,1.0
i5-8600K,,0.937,0.0,1,420.7037,1.0
i5-8600,,0.9534,0.0,1,452.1379,1.0
i5-8500,,0.4718,0.1304,1,358.1,0.3629
i5-8400,,1.0338,0.0385,1,347.72,0.796
i5-8400T,,0.7777,0.0,1,232.1852,1.0
i3-8350K,,1.2498,0.0385,1,191.0,0.694
i3-8300,,0.8534,0.0385,1,153.48,0.5856
i3-8100,,0.5531,0.1429,2,118.3333,0.4079
