i7-920,i7-930,i7-950,i7-960,i7-980X,i5-750,i5-760,i3-530,i3-540,i3-2100,i3-2120,i3-2100T,i5-2300,i5-2400,i5-2500K,i5-2550K,i7-2600,i7-2600K,i7-2700K,i3-3220,i3-3240T,i5-3470,i5-3570K,i5-3550,i7-3770,i7-3770K,i7-3820,i3-4130,i3-4330,i5-4440,i5-4690K,i7-4770,i7-4790K,i5-4590,i3-4360,i7-5775C,i5-5675C,i7-6700K,i7-6700,i5-6600K,i5-6600,i5-6500,i5-6400,i3-6100,i7-7700K,i7-7700,i5-7600K,i5-7600,i5-7500,i5-7400,i3-7350K,i3-7300,i3-7100,i7-7700T,i5-7600T,i5-7500T,i7-8700K,i7-8700,i7-8700T,i5-8600K,i5-8600,i5-8500,i5-8400,i5-8400T,i3-8350K,i3-8300,i3-8100
30.0,27.0,89.0,99.0,,15.0,10.0,25.0,27.0,10.0,16.0,28.0,80.0,50.0,65.0,99.0,168.0,155.0,350.0,19.0,29.0,70.0,75.0,100.0,180.0,280.0,110.0,17.0,28.0,130.0,112.0,220.0,267.0,102.0,39.0,429.0,180.0,305.0,480.0,150.0,150.0,220.0,180.0,55.0,495.0,450.0,256.0,251.0,149.0,210.0,114.0,94.0,60.0,240.0,,580.0,650.0,680.0,730.0,488.0,530.0,,360.0,26.0,199.0,180.0,115.0
26.0,23.0,72.0,120.0,243.0,60.0,15.0,13.0,9.0,15.0,20.0,30.0,49.0,,,180.0,155.0,180.0,150.0,24.0,32.0,,80.0,78.0,170.0,220.0,178.0,20.0,23.0,94.0,,180.0,300.0,,34.0,539.0,220.0,335.0,500.0,360.0,158.0,183.0,192.0,55.0,178.0,425.0,230.0,254.0,249.0,200.0,99.0,160.0,60.0,259.0,,589.0,,620.0,1199.0,400.0,700.0,,350.0,198.0,185.0,140.0,
50.0,,45.0,58.0,249.0,14.0,20.0,13.0,27.0,12.0,18.0,5.0,50.0,50.0,65.0,68.0,155.0,200.0,128.0,23.0,28.0,75.0,80.0,75.0,200.0,225.0,85.0,14.0,19.0,110.0,128.0,,290.0,78.0,42.0,,269.0,420.0,260.0,262.0,,190.0,180.0,45.0,455.0,399.0,249.0,235.0,175.0,222.0,108.0,95.0,,315.0,238.0,450.0,688.0,240.0,735.0,360.0,395.0,368.0,,198.0,190.0,165.0,115.0
25.0,23.0,35.0,180.0,260.0,10.0,20.0,28.0,50.0,10.0,,18.0,55.0,56.0,,68.0,150.0,,250.0,20.0,48.0,55.0,81.0,75.0,240.0,280.0,90.0,19.0,30.0,160.0,238.0,,270.0,89.0,95.0,480.0,199.0,400.0,320.0,360.0,185.0,188.0,99.0,49.0,25.0,488.0,248.0,238.0,220.0,219.0,120.0,160.0,58.0,,250.0,,690.0,550.0,688.0,450.0,369.0,350.0,360.0,265.0,190.0,180.0,118.0
30.0,27.0,121.0,108.0,,10.0,15.0,12.0,29.0,11.0,16.0,26.0,47.0,52.0,,60.0,180.0,160.0,185.0,20.0,30.0,76.0,95.0,178.0,230.0,240.0,161.0,17.0,26.0,100.0,218.0,200.0,260.0,119.0,40.0,,220.0,399.0,268.0,220.0,185.0,199.0,19.0,43.0,210.0,400.0,270.0,220.0,245.0,220.0,100.0,,58.0,265.0,,700.0,760.0,268.0,715.0,355.0,365.0,350.0,355.0,300.0,195.0,175.0,
38.0,23.0,38.0,60.0,,22.0,25.0,48.0,15.0,15.0,13.0,,45.0,47.0,60.0,60.0,168.0,155.0,170.0,19.0,28.0,69.0,85.0,80.0,200.0,285.0,170.0,15.0,24.0,88.0,155.0,200.0,229.0,189.0,55.0,,300.0,360.0,,158.0,,190.0,175.0,50.0,650.0,400.0,,211.0,249.0,,98.0,16.0,60.0,260.0,,398.0,650.0,315.0,958.0,359.0,550.0,,,353.0,240.0,120.0,120.0
25.0,25.0,110.0,90.0,200.0,10.0,35.0,55.0,21.0,13.0,20.0,9.0,50.0,58.0,65.0,65.0,160.0,,185.0,50.0,25.0,105.0,,150.0,220.0,248.0,99.0,15.0,25.0,94.0,140.0,209.0,298.0,100.0,46.0,400.0,260.0,388.0,350.0,,199.0,208.0,180.0,59.0,488.0,495.0,256.0,230.0,199.0,200.0,100.0,65.0,59.0,340.0,153.0,,649.0,300.0,710.0,470.0,380.0,,329.0,360.0,196.0,158.0,
50.0,26.0,39.0,385.0,100.0,60.0,13.0,,20.0,12.0,,18.0,,56.0,65.0,75.0,160.0,155.0,185.0,20.0,55.0,76.0,89.0,80.0,190.0,300.0,80.0,20.0,25.0,145.0,160.0,210.0,288.0,110.0,40.0,666.0,260.0,350.0,,20.0,200.0,200.0,180.0,44.0,600.0,420.0,275.0,199.0,150.0,,99.0,16.0,60.0,388.0,189.0,900.0,850.0,370.0,1200.0,478.0,799.0,363.0,358.0,80.0,,158.0,120.0
,,75.0,108.0,140.0,13.0,23.0,10.0,20.0,,,30.0,49.0,38.0,68.0,98.0,162.0,208.0,189.0,55.0,65.0,67.0,81.0,99.0,,270.0,92.0,16.0,28.0,94.0,130.0,195.0,286.0,,45.0,700.0,,,450.0,224.0,199.0,,170.0,35.0,490.0,405.0,,,200.0,,,205.0,60.0,400.0,280.0,869.0,788.0,685.0,1080.0,380.0,478.0,359.0,350.0,280.0,234.0,150.0,
28.0,26.0,88.0,190.0,,55.0,16.0,21.0,40.0,13.0,16.0,28.0,80.0,57.0,75.0,123.0,148.0,168.0,175.0,,35.0,70.0,85.0,120.0,156.0,,159.0,16.0,20.0,216.0,180.0,,270.0,180.0,,,369.0,400.0,366.0,210.0,,,180.0,60.0,510.0,390.0,,230.0,240.0,225.0,100.0,,50.0,450.0,,880.0,,355.0,1180.0,350.0,319.0,375.0,350.0,330.0,199.0,130.0,
26.0,25.0,110.0,200.0,171.0,50.0,20.0,7.0,17.0,,16.0,15.0,52.0,35.0,65.0,70.0,186.0,180.0,240.0,23.0,27.0,80.0,128.0,68.0,190.0,230.0,159.0,14.0,28.0,94.0,139.0,200.0,318.0,100.0,79.0,469.0,196.0,,160.0,265.0,222.0,,55.0,60.0,500.0,455.0,290.0,240.0,230.0,215.0,98.0,45.0,65.0,380.0,250.0,700.0,650.0,678.0,850.0,530.0,,360.0,360.0,108.0,198.0,156.0,121.0
,20.0,39.0,,150.0,9.0,15.0,15.0,23.0,,16.0,27.0,48.0,56.0,75.0,180.0,180.0,150.0,350.0,15.0,45.0,,,,219.0,300.0,168.0,,,288.0,,220.0,289.0,199.0,50.0,340.0,168.0,370.0,,222.0,188.0,190.0,190.0,45.0,499.0,,255.0,275.0,220.0,210.0,118.0,20.0,60.0,410.0,150.0,450.0,880.0,315.0,930.0,488.0,527.0,,328.0,310.0,,155.0,118.0
30.0,25.0,35.0,290.0,150.0,55.0,13.0,15.0,20.0,12.0,,24.0,55.0,55.0,,198.0,150.0,155.0,185.0,,50.0,100.0,135.0,188.0,200.0,260.0,40.0,14.0,,,300.0,200.0,,103.0,,350.0,329.0,400.0,450.0,205.0,176.0,,85.0,54.0,38.0,416.0,275.0,250.0,,208.0,110.0,159.0,,418.0,150.0,437.0,660.0,259.0,630.0,400.0,568.0,370.0,360.0,400.0,,149.0,
,23.0,50.0,150.0,280.0,50.0,28.0,,30.0,16.0,18.0,10.0,68.0,63.0,65.0,58.0,149.0,150.0,180.0,28.0,,75.0,139.0,130.0,,,100.0,16.0,20.0,,128.0,220.0,288.0,150.0,55.0,418.0,260.0,395.0,389.0,405.0,180.0,198.0,162.0,47.0,450.0,450.0,280.0,256.0,,205.0,110.0,288.0,,435.0,200.0,700.0,670.0,300.0,,400.0,550.0,,,298.0,275.0,190.0,115.0
25.0,20.0,35.0,72.0,200.0,10.0,33.0,9.0,22.0,,,20.0,54.0,50.0,65.0,150.0,,200.0,,18.0,40.0,119.0,110.0,40.0,260.0,,139.0,18.0,,109.0,,203.0,240.0,95.0,,666.0,188.0,,360.0,188.0,222.0,160.0,23.0,39.0,650.0,420.0,270.0,220.0,176.0,,118.0,5.0,59.0,460.0,260.0,850.0,830.0,550.0,675.0,,399.0,348.0,336.0,15.0,200.0,,115.0
41.0,,40.0,400.0,,42.0,38.0,20.0,46.0,,15.0,30.0,75.0,40.0,64.0,64.0,220.0,155.0,160.0,20.0,,100.0,81.0,115.0,205.0,255.0,180.0,15.0,30.0,288.0,240.0,,299.0,150.0,,329.0,199.0,380.0,393.0,399.0,,178.0,25.0,40.0,630.0,428.0,219.0,249.0,239.0,220.0,,8.0,60.0,400.0,180.0,560.0,670.0,310.0,850.0,550.0,385.0,,358.0,220.0,200.0,,120.0
25.0,20.0,58.0,350.0,290.0,12.0,25.0,15.0,20.0,,20.0,,85.0,60.0,,100.0,148.0,,320.0,20.0,,109.0,104.0,,225.0,,150.0,,,210.0,260.0,220.0,,108.0,50.0,328.0,,360.0,388.0,419.0,200.0,190.0,22.0,55.0,28.0,410.0,275.0,248.0,229.0,225.0,105.0,3.0,60.0,356.0,300.0,900.0,800.0,400.0,1310.0,420.0,580.0,350.0,335.0,280.0,,,118.0
27.0,24.0,50.0,350.0,,12.0,,8.0,39.0,9.0,15.0,20.0,110.0,49.0,70.0,144.0,160.0,220.0,,55.0,,72.0,108.0,100.0,210.0,255.0,55.0,21.0,25.0,95.0,151.0,200.0,270.0,95.0,40.0,350.0,279.0,350.0,299.0,37.0,,220.0,38.0,45.0,148.0,490.0,,256.0,260.0,225.0,,14.0,,429.0,285.0,,909.0,649.0,,399.0,435.0,368.0,350.0,205.0,,179.0,118.0
20.0,20.0,45.0,252.0,140.0,9.0,19.0,15.0,24.0,14.0,15.0,13.0,100.0,50.0,65.0,64.0,128.0,200.0,200.0,60.0,,69.0,81.0,60.0,180.0,283.0,98.0,15.0,28.0,280.0,150.0,200.0,290.0,79.0,30.0,399.0,329.0,400.0,298.0,215.0,190.0,,157.0,55.0,600.0,460.0,,,199.0,225.0,110.0,239.0,60.0,310.0,168.0,700.0,800.0,310.0,800.0,,350.0,,350.0,25.0,145.0,145.0,
28.0,23.0,110.0,,140.0,13.0,15.0,45.0,20.0,,,25.0,75.0,50.0,,160.0,200.0,160.0,180.0,,,100.0,,,168.0,260.0,76.0,,,75.0,135.0,220.0,306.0,115.0,40.0,408.0,,,408.0,200.0,,225.0,170.0,43.0,470.0,440.0,235.0,255.0,230.0,215.0,120.0,18.0,65.0,450.0,200.0,700.0,630.0,283.0,1000.0,,350.0,355.0,345.0,,170.0,,120.0
