i7-920,i7-930,i7-950,i7-960,i7-980X,i5-750,i5-760,i3-530,i3-540,i3-2100,i3-2120,i3-2100T,i5-2300,i5-2400,i5-2500K,i5-2550K,i7-2600,i7-2600K,i7-2700K,i3-3220,i3-3240T,i5-3470,i5-3570K,i5-3550,i7-3770,i7-3770K,i7-3820,i3-4130,i3-4330,i5-4440,i5-4690K,i7-4770,i7-4790K,i5-4590,i3-4360,i7-5775C,i5-5675C,i7-6700K,i7-6700,i5-6600K,i5-6600,i5-6500,i5-6400,i3-6100,i7-7700K,i7-7700,i5-7600K,i5-7600,i5-7500,i5-7400,i3-7350K,i3-7300,i3-7100,i7-7700T,i5-7600T,i5-7500T,i7-8700K,i7-8700,i7-8700T,i5-8600K,i5-8600,i5-8500,i5-8400,i5-8400T,i3-8350K,i3-8300,i3-8100
18.0,20.0,30.0,99.0,105.0,9.0,12.0,16.0,60.0,13.0,14.0,15.0,50.0,44.0,65.0,70.0,145.0,160.0,188.0,18.0,26.0,72.0,78.0,77.0,266.0,266.0,143.0,16.0,23.0,85.0,120.0,205.0,286.0,79.0,29.0,469.0,150.0,393.0,416.0,190.0,190.0,190.0,180.0,40.0,450.0,480.0,251.0,200.0,220.0,,90.0,85.0,52.0,200.0,228.0,499.0,,290.0,540.0,350.0,350.0,348.0,333.0,278.0,168.0,150.0,
23.0,26.0,35.0,63.0,200.0,8.0,10.0,10.0,43.0,12.0,,28.0,50.0,49.0,60.0,60.0,138.0,180.0,250.0,21.0,28.0,85.0,95.0,75.0,170.0,258.0,185.0,15.0,23.0,98.0,125.0,205.0,265.0,103.0,29.0,370.0,225.0,320.0,400.0,297.0,185.0,190.0,20.0,45.0,480.0,450.0,,235.0,200.0,,90.0,119.0,55.0,430.0,238.0,435.0,700.0,,735.0,345.0,290.0,350.0,358.0,120.0,166.0,135.0,120.0
30.0,20.0,76.0,109.0,230.0,10.0,13.0,50.0,18.0,12.0,18.0,17.0,53.0,35.0,64.0,65.0,157.0,157.0,120.0,46.0,23.0,70.0,75.0,100.0,210.0,240.0,178.0,13.0,23.0,100.0,135.0,210.0,288.0,98.0,30.0,430.0,220.0,,319.0,25.0,200.0,190.0,88.0,40.0,150.0,408.0,238.0,245.0,245.0,222.0,98.0,95.0,,380.0,146.0,520.0,670.0,735.0,680.0,290.0,360.0,365.0,320.0,199.0,175.0,145.0,120.0
60.0,25.0,85.0,55.0,188.0,66.0,13.0,30.0,58.0,12.0,16.0,23.0,95.0,48.0,55.0,58.0,220.0,155.0,249.0,20.0,28.0,75.0,99.0,130.0,245.0,280.0,65.0,14.0,29.0,90.0,129.0,210.0,249.0,103.0,29.0,410.0,277.0,389.0,,205.0,205.0,148.0,185.0,47.0,500.0,,,265.0,225.0,228.0,98.0,110.0,53.0,399.0,288.0,550.0,666.0,300.0,500.0,399.0,500.0,350.0,350.0,310.0,168.0,145.0,
28.0,,36.0,117.0,120.0,60.0,15.0,30.0,15.0,12.0,17.0,15.0,50.0,40.0,64.0,158.0,150.0,160.0,168.0,,24.0,75.0,99.0,72.0,225.0,330.0,206.0,15.0,25.0,90.0,128.0,,289.0,79.0,35.0,666.0,226.0,349.0,,205.0,205.0,,128.0,42.0,25.0,430.0,235.0,240.0,220.0,218.0,99.0,89.0,55.0,262.0,239.0,900.0,,450.0,950.0,390.0,345.0,,350.0,188.0,168.0,,120.0
60.0,,30.0,55.0,120.0,10.0,30.0,20.0,23.0,13.0,,15.0,45.0,48.0,,150.0,118.0,180.0,190.0,21.0,30.0,72.0,76.0,68.0,170.0,260.0,100.0,15.0,28.0,94.0,118.0,210.0,310.0,,99.0,469.0,199.0,,380.0,225.0,180.0,180.0,185.0,48.0,280.0,,254.0,220.0,210.0,220.0,94.0,95.0,62.0,269.0,288.0,380.0,680.0,299.0,715.0,450.0,350.0,348.0,339.0,305.0,180.0,149.0,
25.0,28.0,35.0,80.0,190.0,75.0,45.0,25.0,23.0,15.0,,20.0,70.0,,75.0,60.0,180.0,168.0,175.0,20.0,30.0,65.0,65.0,76.0,240.0,250.0,175.0,18.0,24.0,100.0,130.0,228.0,296.0,90.0,36.0,500.0,220.0,370.0,315.0,311.0,225.0,159.0,175.0,52.0,600.0,405.0,270.0,,140.0,,98.0,89.0,56.0,410.0,290.0,583.0,662.0,666.0,745.0,360.0,390.0,,360.0,,165.0,150.0,115.0
50.0,23.0,37.0,71.0,190.0,39.0,13.0,25.0,25.0,14.0,,13.0,50.0,59.0,65.0,60.0,150.0,168.0,159.0,45.0,20.0,60.0,81.0,105.0,250.0,,72.0,14.0,22.0,95.0,125.0,218.0,270.0,100.0,90.0,435.0,230.0,389.0,375.0,234.0,200.0,175.0,183.0,42.0,250.0,399.0,280.0,200.0,,215.0,95.0,70.0,59.0,350.0,,420.0,840.0,320.0,875.0,430.0,229.0,350.0,,328.0,190.0,135.0,
29.0,20.0,35.0,130.0,100.0,39.0,20.0,10.0,23.0,18.0,,21.0,45.0,50.0,,65.0,145.0,155.0,175.0,22.0,30.0,65.0,85.0,75.0,188.0,258.0,173.0,15.0,23.0,234.0,140.0,205.0,330.0,79.0,35.0,469.0,245.0,365.0,415.0,399.0,175.0,198.0,68.0,40.0,128.0,490.0,240.0,225.0,228.0,,100.0,220.0,56.0,258.0,,600.0,750.0,300.0,785.0,500.0,470.0,365.0,,290.0,179.0,158.0,122.0
23.0,26.0,35.0,150.0,200.0,60.0,39.0,30.0,46.0,12.0,,22.0,75.0,,70.0,70.0,120.0,165.0,175.0,22.0,30.0,,88.0,77.0,280.0,280.0,150.0,23.0,24.0,99.0,155.0,,270.0,108.0,59.0,400.0,228.0,,340.0,360.0,234.0,,25.0,60.0,498.0,380.0,275.0,228.0,230.0,210.0,105.0,158.0,58.0,435.0,,750.0,620.0,315.0,715.0,568.0,799.0,370.0,349.0,,200.0,140.0,
