i7-920,i7-930,i7-950,i7-960,i7-980X,i5-750,i5-760,i3-530,i3-540,i3-2100,i3-2120,i3-2100T,i5-2300,i5-2400,i5-2500K,i5-2550K,i7-2600,i7-2600K,i7-2700K,i3-3220,i3-3240T,i5-3470,i5-3570K,i5-3550,i7-3770,i7-3770K,i7-3820,i3-4130,i3-4330,i5-4440,i5-4690K,i7-4770,i7-4790K,i5-4590,i3-4360,i7-5775C,i5-5675C,i7-6700K,i7-6700,i5-6600K,i5-6600,i5-6500,i5-6400,i3-6100,i7-7700K,i7-7700,i5-7600K,i5-7600,i5-7500,i5-7400,i3-7350K,i3-7300,i3-7100,i7-7700T,i5-7600T,i5-7500T,i7-8700K,i7-8700,i7-8700T,i5-8600K,i5-8600,i5-8500,i5-8400,i5-8400T,i3-8350K,i3-8300,i3-8100
18.0,20,30,99,105,9,12,16,60,13,14,15,50,44,65,70,145,160,188,18,26,72,78,77,266,266,143,16,23,85,120,205,286,79,29,469,150,393,416,190,190,190,180,40,450,480,251,200,220,260,90,85,52,200,228,499,1000,290,540,350,350,348,333,278,168,150,95
23.0,26,35,63,200,8,10,10,43,12,10,28,50,49,60,60,138,180,250,21,28,85,95,75,170,258,185,15,23,98,125,205,265,103,29,370,225,320,400,297,185,190,20,45,480,450,460,235,200,248,90,119,55,430,238,435,700,1000,735,345,290,350,358,120,166,135,120
30.0,20,76,109,230,10,13,50,18,12,18,17,53,35,64,65,157,157,120,46,23,70,75,100,210,240,178,13,23,100,135,210,288,98,30,430,220,500,319,25,200,190,88,40,150,408,238,245,245,222,98,95,42,380,146,520,670,735,680,290,360,365,320,199,175,145,120
60.0,25,85,55,188,66,13,30,58,12,16,23,95,48,55,58,220,155,249,20,28,75,99,130,245,280,65,14,29,90,129,210,249,103,29,410,277,389,25,205,205,148,185,47,500,300,315,265,225,228,98,110,53,399,288,550,666,300,500,399,500,350,350,310,168,145,180
28.0,72,36,117,120,60,15,30,15,12,17,15,50,40,64,158,150,160,168,120,24,75,99,72,225,330,206,15,25,90,128,266,289,79,35,666,226,349,22,205,205,260,128,42,25,430,235,240,220,218,99,89,55,262,239,900,1000,450,950,390,345,290,350,188,168,229,120
60.0,59,30,55,120,10,30,20,23,13,46,15,45,48,101,150,118,180,190,21,30,72,76,68,170,260,100,15,28,94,118,210,310,240,99,469,199,450,380,225,180,180,185,48,280,280,254,220,210,220,94,95,62,269,288,380,680,299,715,450,350,348,339,305,180,149,240
25.0,28,35,80,190,75,45,25,23,15,25,20,70,110,75,60,180,168,175,20,30,65,65,76,240,250,175,18,24,100,130,228,296,90,36,500,220,370,315,311,225,159,175,52,600,405,270,460,140,180,98,89,56,410,290,583,662,666,745,360,390,323,360,730,165,150,115
50.0,23,37,71,190,39,13,25,25,14,46,13,50,59,65,60,150,168,159,45,20,60,81,105,250,466,72,14,22,95,125,218,270,100,90,435,230,389,375,234,200,175,183,42,250,399,280,200,295,215,95,70,59,350,650,420,840,320,875,430,229,350,245,328,190,135,110
29.0,20,35,130,100,39,20,10,23,18,46,21,45,50,49,65,145,155,175,22,30,65,85,75,188,258,173,15,23,234,140,205,330,79,35,469,245,365,415,399,175,198,68,40,128,490,240,225,228,243,100,220,56,258,333,600,750,300,785,500,470,365,380,290,179,158,122
23.0,26,35,150,200,60,39,30,46,12,56,22,75,72,70,70,120,165,175,22,30,150,88,77,280,280,150,23,24,99,155,250,270,108,59,400,228,498,340,360,234,120,25,60,498,380,275,228,230,210,105,158,58,435,650,750,620,315,715,568,799,370,349,700,200,140,88
