name,2025-05-08
i7-920,25
i7-930,25
i7-950,35
i7-960,35
i7-980X,105
i5-750,8
i5-760,10
i3-530,16
i3-540,15
i3-2100,12
i3-2120,14
i3-2100T,15
i5-2300,50
i5-2400,44
i5-2500K,60
i5-2550K,65
i7-2600,145
i7-2600K,160
i7-2700K,188
i3-3220,20
i3-3240T,23
i5-3470,85
i5-3570K,78
i5-3550,75
i7-3770,138
i7-3770K,248
i7-3820,79
i3-4130,16
i3-4330,23
i5-4440,110
i5-4690K,125
i7-4770,180
i7-4790K,300
i5-4590,79
i3-4360,29
i7-5775C,430
i5-5675C,150
i7-6700K,270
i7-6700,22
i5-6600K,180
i5-6600,180
i5-6500,138
i5-6400,128
i3-6100,39
i7-7700K,25
i7-7700,420
i5-7600K,209
i5-7600,240
i5-7500,230
i5-7400,200
i3-7350K,90
i3-7300,85
i3-7100,52
i7-7700T,200
i5-7600T,162
i5-7500T,370
i7-8700K,650
i7-8700,290
i7-8700T,680
i5-8600K,350
i5-8600,290
i5-8500,345
i5-8400,240
i5-8400T,150
i3-8350K,166
i3-8300,125
i3-8100,118
